idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad,st_x_num,st_y_num,lon,lat
3565,FERRAZ S-N(BUEN SUCESO-MARQUES DE URQUIJO),171301,420,5,18,0,3000,N,110009,"438976,041650741","4475546,75244273",,438976.041650741,4475546.75244273,-3.719415693780924,40.428319863031625
4363,MARQUES DE URQUIJO E-O(FERRAZ-PINTOR ROSALES),171204,900,14,46,1,2400,N,110009,"438862,858874564","4475649,94757755",,438862.858874564,4475649.94757755,-3.7207598378619644,40.42924117770103
4364,PINTOR ROSALES N-S(BUEN SUCESO-QUINTANA),171402,660,8,31,1,2600,N,110009,"438929,035200166","4475412,08748912",,438929.035200166,4475412.08748912,-3.719956878304308,40.42710329472283
4365,QUINTANA E-O(MARTIN DE LOS HEROS-MENDIZABAL),0,4080,58,214,-4,1100,N,0000,"439177,018334491","4475512,48265357",,439177.018334491,4475512.48265357,-3.717043263181335,40.428025864728035
4366,QUINTANA E-O(FERRAZ-PINTOR ROSALES),171404,60,3,9,0,900,N,110009,"439035,428427493","4475433,36211837",,439035.428427493,4475433.36211837,-3.718704757518203,40.427302749109
4367,LUISA FERNANDA E-O(MENDIZABAL-FERRAZ),171604,210,10,25,0,1200,S,110009,"439308,397572324","4475202,69976139",,439308.397572324,4475202.69976139,-3.7154649733485146,40.4252448016222
10647,JUAN ALVAREZ MENDIZABAL S-N(PL.ESPANA -V.RODRIGUEZ),173501,300,20,44,1,1000,N,110009,"439425,444695869","4475056,70626546",,439425.444695869,4475056.70626546,-3.714071352779595,40.4239381583656
4370,MARTIN DE LOS HEROS S-N(BUEN SUCESO-MARQUES DE URQUIJO),0,60,2,7,0,1200,N,0000,"439110,382710748","4475660,36247063",,439110.382710748,4475660.36247063,-3.717842937625578,40.429353154311805
4371,MARQUES DE URQUIJO E-O(MARTIN DE LOS HEROS-MENDIZAL),171304,600,5,34,1,2000,N,110009,"439044,983984283","4475723,78230481",,439044.983984283,4475723.78230481,-3.7186199634050494,40.42991967735639
4372,REY FRANCISCO E-O(FERRAZ-PINTOR ROSALES),0,120,7,15,0,1350,N,0000,"439119,151890756","4475330,99848489",,439119.151890756,4475330.99848489,-3.717708021825455,40.42638674490055
4376,PRINCESA N-S(PL. MONCLOA-ROMERO ROBLEDO),170202,780,28,44,1,3500,N,110009,"439079,551646845","4476099,43468025",,439079.551646845,4476099.43468025,-3.718248467924813,40.433306243892254
4377,"FERRAZ, 13 S-N(REY FRANCISCO-QUINTANA)",171501,579,15,35,1,2400,S,110009,"439124,123438562","4475343,02674271",,439124.123438562,4475343.02674271,-3.7176505696457376,40.426495464404006
10271,MARQUES DE URQUIJO E-O(GIRO A P.ROSALES),171205,480,7,52,2,1000,N,110009,"438861,444025172","4475644,69915705",,438861.444025172,4475644.69915705,-3.720776011820582,40.42919379374871
10338,QUINTANA O-E (JUAN ALVAREZ MENDIZABAL-FERRAZ),171504,240,2,10,0,3000,N,110009,"439101,341022365","4475470,31993509",,439101.341022365,4475470.31993509,-3.71793131915751,40.42764050849622
10884,FERRAZ N-S (IRUN -VENTURA RODRIGUEZ),0,1980,6,47,1,4500,N,0000,"439306,274113412","4475074,47727995",,439306.274113412,4475074.47727995,-3.71547776448169,40.42408956271263
10883,FERRAZ S-N (VENTURA RODRIGUEZ -LUISA FERNANDA),0,120,2,10,0,1500,N,0000,"439348,109940835","4475044,75668688",,439348.109940835,4475044.75668688,-3.7149817913861343,40.42382487739642
10878,FERRAZ S-N(SALIDA TUNEL A 70MTS LINEA PARADA),171601,720,7,27,1,3400,N,110009,"439317,57940074","4475075,17433091",,439317.57940074,4475075.17433091,-3.715344570381843,40.42409666667763
7063,(MICRO) PRINCESA S-N(DELANTE G.2),0,960,17,67,2,1600,N,0000,"439353,227111295","4475609,70422266",,439353.227111295,4475609.70422266,-3.7149753631439495,40.428914543155386
7065,(MICRO) PRINCESA N-S(DELANTE G. 1 FRENTE G. 2),0,840,20,63,2,1550,N,0000,"439353,193404059","4475594,97010642",,439353.193404059,4475594.97010642,-3.7149743548422065,40.42878180943806
