idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad,st_x_num,st_y_num,lon,lat,edge_id,edge_dist_m
4284,PL. ESPANA N-S(SAN LEONARDO-CUESTA SAN VICENTE),160402,0,100,100,3,2000,N,110003,"439635,038464069","4475072,49601604",,439635.038464069,4475072.49601604,-3.71160227750109,40.424095632483805,238829520,8.830116681107148
4285,CUESTA SAN VICENTE O-E(GRAN VIA-FERRAZ),0,60,7,14,0,850,N,0,"439636,390335292","4474962,83748095",,439636.390335292,4474962.83748095,-3.7115759323844273,40.42310787766018,4334161,0.42680324267488845
4286,PL. ESPANA S-N(REYES-SAN LEONARDO),160301,1020,14,41,1,3200,N,110003,"439670,54596838","4475031,4390451",,439670.54596838,4475031.4390451,-3.711179838376455,40.423728348425705,1447671253,25.479142013838768
4353,(AFOROS) PRINCESA S-N (SAN LEONARDO-VENTURA RODRIGUEZ),170901,1260,9,47,1,3000,N,110009,"439563,578651391","4475222,1593085",,439563.578651391,4475222.1593085,-3.712458833470782,40.4254386778172,428829834#1,10.353152247428806
10874,FERRAZ N-S (IRUN -CUESTA  SAN VICENTE)(GIRO),0,480,3,17,0,3400,N,0,"439438,619671799","4474899,25593077",,439438.619671799,4474899.25593077,-3.713901058000363,40.42252073537554,26631682,47.34105529810209
4313,PL.ESPANA O-E(BAILEN-GRAN VIA),160403,1440,15,53,2,3200,N,110003,"439520,044142072","4474867,08030584",,439520.044142072,4474867.08030584,-3.7129382319974806,40.42223680556548,1008751309,41.066033934248686
4316,FERRAZ N-S(IRUN- CUESTA SAN VICENTE)(FRENTE),0,600,22,50,1,1700,N,0,"439442,624243271","4474902,43678908",,439442.624243271,4474902.43678908,-3.713854158269696,40.4225496814187,26631682,44.91067193421128
10885,(TACTICA) PL.ESPANA E-O( GRAN VIA -FERRAZ),161804,120,38,43,1,1500,N,110003,"439508,416499277","4474872,15857751",,439508.416499277,4474872.15857751,-3.713075771755985,40.422281707637104,1008751309,37.719811594698406
10875,FERRAZ N-S (P.M 16045+16041 ),161802,1080,9,28,1,5100,N,110003,"439452,725258098","4474886,00420359",,439452.725258098,4474886.00420359,-3.713733531017607,40.422402384509176,26631682,30.439204376323485
4338,PRINCESA S-N(PL. MONCLOA-Po MORET),170101,660,4,23,0,3400,N,110009,"439034,416488366","4476201,82526628",,439034.416488366,4476201.82526628,-3.718790391004667,40.43422531367063,1217444756,6.293077492849093
4339,PRINCESA N-S(GIRO IZQDA. FERNANDO EL CATOLICO),171703,480,80,90,3,1000,N,110009,"439036,097190302","4476184,37596753",,439036.097190302,4476184.37596753,-3.718768903005711,40.43406824634896,1217444756,8.148583303071627
4340,Po MORET  O-E(MARTIN DE LOS HEROS-PRINCESA),170103,300,3,15,0,2500,N,110009,"438860,366720657","4476220,97399566",,438860.366720657,4476220.97399566,-3.720844143677809,40.43438503702111,-511777785,44.15542598993072
4341,PRINCESA S-N(MELENDEZ VALDES-PL. MONCLOA),172211,166,0,5,0,3600,N,110009,"439100,55239806","4476080,5602768",,439100.55239806,4476080.5602768,-3.717999080221774,40.43313775331029,242546585,14.65793363361901
3745,PRINCESA S-N(BENITO GUTIERREZ-MELENDEZ VALDES),170201,540,7,30,1,2150,N,110009,"439139,41859701","4476005,31486159",,439139.41859701,4476005.31486159,-3.717533680049325,40.43246275590391,339929109#0,15.602014678767468
