idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad,st_x_num,st_y_num,lon,lat,edge_id,edge_dist_m
4371,MARQUES DE URQUIJO E-O(MARTIN DE LOS HEROS-MENDIZAL),171304,120,0,4,0,3000,N,110009,"439044,983984283","4475723,78230481",,439044.983984283,4475723.78230481,-3.7186199634050494,40.42991967735639,431525591#2,24.22807853034402
4372,REY FRANCISCO E-O(FERRAZ-PINTOR ROSALES),0,40,1,4,0,1350,N,110009,"439119,151890756","4475330,99848489",,439119.151890756,4475330.99848489,-3.717708021825455,40.42638674490055,7604153#0,11.156162927156997
4376,PRINCESA N-S(PL. MONCLOA-ROMERO ROBLEDO),170202,200,1,7,0,3500,N,110009,"439079,551646845","4476099,43468025",,439079.551646845,4476099.43468025,-3.718248467924813,40.433306243892254,43405569,40.562093558602754
4377,"FERRAZ, 13 S-N(REY FRANCISCO-QUINTANA)",171501,360,3,17,0,2400,N,110009,"439124,123438562","4475343,02674271",,439124.123438562,4475343.02674271,-3.7176505696457376,40.426495464404006,7604153#0,6.047440622859269
10271,MARQUES DE URQUIJO E-O(GIRO A P.ROSALES),171205,0,0,0,0,1000,N,110009,"438861,444025172","4475644,69915705",,438861.444025172,4475644.69915705,-3.720776011820582,40.42919379374871,423876763,39.557855346934325
10338,QUINTANA O-E (JUAN ALVAREZ MENDIZABAL-FERRAZ),171504,120,1,4,0,3000,N,110009,"439101,341022365","4475470,31993509",,439101.341022365,4475470.31993509,-3.71793131915751,40.42764050849622,31769101#2,28.112624869093864
10884,FERRAZ N-S (IRUN -VENTURA RODRIGUEZ),0,240,1,6,0,4500,N,110009,"439306,274113412","4475074,47727995",,439306.274113412,4475074.47727995,-3.71547776448169,40.42408956271263,854461432,13.219518950366673
10883,FERRAZ S-N (VENTURA RODRIGUEZ -LUISA FERNANDA),173501,0,0,0,0,1500,N,110009,"439348,109940835","4475044,75668688",,439348.109940835,4475044.75668688,-3.7149817913861343,40.42382487739642,815856979#1,0.9281926944383913
10878,FERRAZ S-N(SALIDA TUNEL A 70MTS LINEA PARADA),171601,200,1,7,0,3400,N,110009,"439317,57940074","4475075,17433091",,439317.57940074,4475075.17433091,-3.715344570381843,40.42409666667763,854461432,13.801516226269282
7063,(MICRO) PRINCESA S-N(DELANTE G.2),0,520,11,57,2,1000,N,110009,"439353,227111295","4475609,70422266",,439353.227111295,4475609.70422266,-3.7149753631439495,40.428914543155386,43407380#1,16.490033788920424
7065,(MICRO) PRINCESA N-S(DELANTE G. 1 FRENTE G. 2),0,400,10,34,1,1500,N,110009,"439353,193404059","4475594,97010642",,439353.193404059,4475594.97010642,-3.7149743548422074,40.42878180943806,43407380#1,15.55218775811695
